Time (s),Signal (V)
0.638,1.886062989
0.64,1.649441412
0.642,1.975816
0.644,1.894222353
0.646,2.008453459
0.648,2.163481389
0.65,2.302190589
0.652,2.449059153
0.654,2.342987412
0.656,2.220596942
0.658,1.959497271
0.66,1.665760142
0.662,1.910541083
0.664,2.008453459
0.666,2.1145252
0.668,2.261393765
0.67,2.285871859
0.672,2.498015342
0.674,2.424581059
0.676,2.228756306
0.678,1.975816
0.68,1.820788071
0.682,2.041090918
0.684,2.13084393
0.686,2.228756306
0.688,2.294031224
0.69,2.351146777
0.692,2.571449624
0.694,2.563290259
0.696,2.351146777
0.698,2.000294095
0.7,1.967656636
0.702,2.245075036
0.704,2.179800118
0.706,2.277712495
0.708,2.424581059
0.71,2.3919436
0.712,2.759115012
0.714,2.587768353
0.716,2.465377883
0.718,2.090047106
0.72,2.057409647
0.722,2.236915671
0.724,2.351146777
0.726,2.383784236
0.728,2.449059153
0.73,2.555130894
0.732,2.840708659
0.734,2.636724542
0.736,2.465377883
0.738,2.187959483
0.74,2.236915671
0.742,2.375624871
0.744,2.383784236
0.746,2.440899789
0.748,2.54697153
0.75,2.579608989
0.752,2.775433741
0.754,2.604087083
0.756,2.465377883
0.758,2.057409647
0.76,2.13084393
0.762,2.302190589
0.764,2.245075036
0.766,2.228756306
0.768,2.375624871
0.77,2.498015342
0.772,2.620405812
0.774,2.400102965
0.776,2.310349953
0.778,1.959497271
0.78,1.967656636
0.782,2.016612824
0.784,2.000294095
0.786,2.204278212
0.788,2.26955313
0.79,2.383784236
0.792,2.514334071
0.794,2.318509318
0.796,2.196118847
0.798,1.788150612
0.8,1.902381718
0.802,1.951337906
0.804,2.000294095
0.806,2.163481389
0.808,2.220596942
0.81,2.261393765
0.812,2.383784236
0.814,2.26955313
0.816,2.098206471
0.818,1.657600777
0.82,1.877903624
0.822,1.983975365
0.824,1.935019177
0.826,2.057409647
0.828,2.13084393
0.83,2.261393765
0.832,2.375624871
0.834,2.090047106
0.836,2.155322024
0.838,1.788150612
0.84,1.894222353
0.842,1.926859812
0.844,2.008453459
0.846,2.098206471
0.848,2.139003295
0.85,2.40826233
0.852,2.375624871
0.854,2.179800118
0.856,1.926859812
0.858,1.624963318
0.86,1.796309977
0.862,1.918700448
0.864,1.910541083
0.866,2.106365836
0.868,2.147162659
0.87,2.383784236
0.872,2.424581059
0.874,2.204278212
0.876,1.935019177
0.878,1.624963318
0.88,1.926859812
0.882,1.983975365
0.884,2.024772189
0.886,2.179800118
0.888,2.212437577
0.89,2.424581059
0.892,2.367465506
0.894,2.179800118
0.896,1.886062989
0.898,1.6983976
0.9,1.902381718
0.902,2.032931553
0.904,2.065569012
0.906,2.179800118
0.908,2.245075036
0.91,2.400102965
0.912,2.40826233
0.914,2.171640753
0.916,1.812628706
0.918,1.788150612
0.92,2.065569012
0.922,1.983975365
0.924,2.081887742
0.926,2.187959483
0.928,2.2532344
0.93,2.383784236
0.932,2.318509318
0.934,2.073728377
0.936,1.951337906
0.938,1.779991248
0.94,1.967656636
0.942,1.959497271
0.944,2.147162659
0.946,2.212437577
0.948,2.13084393
0.95,2.3919436
0.952,2.294031224
0.954,2.155322024
0.956,1.861584895
0.958,1.649441412
0.96,1.918700448
0.962,1.99213473
0.964,2.098206471
0.966,2.163481389
0.968,2.163481389
0.97,2.465377883
0.972,2.334828047
0.974,2.1145252
0.976,1.902381718
0.978,1.71471633
0.98,1.983975365
0.982,2.000294095
0.984,2.1145252
0.986,2.147162659
0.988,2.155322024
0.99,2.3919436
0.992,2.285871859
0.994,2.090047106
0.996,1.804469342
0.998,1.739194424
1,1.85342553
1.002,1.894222353
1.004,2.000294095
1.006,2.098206471
1.008,2.098206471
1.01,2.318509318
1.012,2.245075036
1.014,2.098206471
1.016,1.779991248
1.018,1.755513153
1.02,1.967656636
1.022,1.861584895
1.024,1.967656636
1.026,2.106365836
1.028,2.090047106
1.03,2.342987412
1.032,2.196118847
1.034,1.99213473
1.036,1.722875695
1.038,1.763672518
1.04,1.869744259
1.042,1.877903624
1.044,1.967656636
1.046,2.041090918
1.048,2.122684565
1.05,2.563290259
1.052,2.277712495
1.054,2.073728377
1.056,1.755513153
1.058,1.869744259
1.06,1.861584895
1.062,1.820788071
1.064,1.804469342
1.066,2.147162659
1.068,2.171640753
1.07,2.277712495
1.072,2.261393765
1.074,2.1145252
1.076,1.755513153
1.078,1.845266165
1.08,1.845266165
1.082,1.99213473
1.084,2.057409647
1.086,2.122684565
1.088,2.236915671
1.09,2.440899789
1.092,2.228756306
1.094,2.057409647
1.096,1.633122683
1.098,1.804469342
1.1,1.910541083
1.102,1.983975365
1.104,2.073728377
1.106,2.187959483
1.108,2.342987412
1.11,2.3919436
1.112,2.179800118
1.114,2.016612824
1.116,1.600485224
1.118,1.877903624
1.12,1.910541083
1.122,1.918700448
1.124,2.106365836
1.126,2.122684565
1.128,2.310349953
1.13,2.342987412
1.132,2.090047106
1.134,1.943178542
1.136,1.616803953
1.138,1.886062989
1.14,1.951337906
1.142,1.935019177
1.144,2.13084393
1.146,2.155322024
1.148,2.342987412
1.15,2.351146777
1.152,2.139003295
1.154,2.032931553
1.156,1.682078871
1.158,1.877903624
1.16,2.016612824
1.162,2.065569012
1.164,2.196118847
1.166,2.212437577
1.168,2.375624871
1.17,2.334828047
1.172,2.187959483
1.174,1.983975365
1.176,1.722875695
1.178,2.016612824
1.18,1.99213473
1.182,2.147162659
1.184,2.228756306
1.186,2.261393765
1.188,2.40826233
1.19,2.3919436
1.192,2.212437577
1.194,1.967656636
1.196,1.771831883
1.198,2.065569012
1.2,2.245075036
1.202,2.212437577
1.204,2.285871859
1.206,2.310349953
1.208,2.571449624
1.21,2.514334071
1.212,2.424581059
1.214,2.106365836
1.216,1.788150612
1.218,2.041090918
1.22,2.13084393
1.222,2.261393765
1.224,2.351146777
1.226,2.375624871
1.228,2.54697153
1.23,2.489855977
1.232,2.294031224
1.234,2.000294095
1.236,1.763672518
1.238,2.041090918
1.24,2.016612824
1.242,2.073728377
1.244,2.228756306
1.246,2.261393765
1.248,2.514334071
