Time (s),Signal (V)
0.558,4.697993732
0.56,4.593981195
0.562,4.160595624
0.564,3.501849557
0.566,3.033793141
0.568,2.895109758
0.57,2.704420107
0.572,2.548401302
0.574,2.531065879
0.576,2.236363691
0.578,2.132351154
0.58,2.063009463
0.582,1.906990657
0.584,1.698965583
0.586,1.525611355
0.588,1.490940509
0.59,1.629623892
0.592,1.906990657
0.594,2.201692845
0.596,2.461724188
0.598,2.583072147
0.6,2.548401302
0.602,2.427053342
0.604,2.149686577
0.606,1.976332349
0.608,1.958996926
0.61,2.080344885
0.612,2.253699114
0.614,2.60040757
0.616,2.791097221
0.618,2.825768067
0.62,2.72175553
0.622,2.565736724
0.624,2.236363691
0.626,2.063009463
0.628,2.028338617
0.63,2.115015731
0.632,2.340376228
0.634,2.635078416
0.636,2.773761798
0.638,2.825768067
0.64,2.704420107
0.642,2.531065879
0.644,2.253699114
0.646,2.097680308
0.648,2.04567404
0.65,2.167022
0.652,2.375047073
0.654,2.704420107
0.656,2.860438912
0.658,2.877774335
0.66,2.773761798
0.662,2.583072147
0.664,2.288369959
0.666,2.149686577
0.668,2.115015731
0.67,2.236363691
0.672,2.444388765
0.674,2.756426375
0.676,2.895109758
0.678,2.929780604
0.68,2.84310349
0.682,2.617742993
0.684,2.288369959
0.686,2.184357422
0.688,2.184357422
0.69,2.305705382
0.692,2.496395033
0.694,2.84310349
0.696,2.947116027
0.698,2.947116027
0.7,2.825768067
0.702,2.669749261
0.704,2.357711651
0.706,2.201692845
0.708,2.236363691
0.71,2.409717919
0.712,2.583072147
0.714,2.947116027
0.716,3.051128563
0.718,3.103134832
0.72,2.947116027
0.722,2.739090953
0.724,2.427053342
0.726,2.340376228
0.728,2.340376228
0.73,2.47905961
0.732,2.669749261
0.734,3.016457718
0.736,3.137805678
0.738,3.137805678
0.74,2.999122295
0.742,2.84310349
0.744,2.531065879
0.746,2.427053342
0.748,2.47905961
0.75,2.635078416
0.752,2.877774335
0.754,3.172476523
0.756,3.293824483
0.758,3.293824483
